Road Code,From (km),To (km),Depot,EE,CE,Province,Count
B0604,0,6975,Hettimulla,Kegalle,Kegalle,Sabaragamuwa Province,
B0604,6975,14450,Abanpitiya,Kegalle,Kegalle,Sabaragamuwa Province,
B0605,0,6300,Weekada,Ruwanwella,Kegalle,Sabaragamuwa Province,
B0606,0,4660,Tangalle,Tangalle,Hambantota,Southern Province,
B0606,4660,8905,Beragama,Deniyaya,Matara,Southern Province,17.0
B0607,0,5010,Beragama,Deniyaya,Matara,Southern Province,23.0
B0607,5010,9360,Porupitiya,Deniyaya,Matara,Southern Province,2.0
B0608,0,150,Tennekumbura,Kandy,Kandy,Central Province,
B0609,0,3200,Kiribamuna,Kurunegala,Kurunegala,North Western Province,
B0609,3200,14830,Koonwewa,Maho,Kurunegala,North Western Province,
B0610,0,6150,Kiribamuna,Kurunegala,Kurunegala,North Western Province,
B0610,6150,12670,Koonwewa,Maho,Kurunegala,North Western Province,
B0611,0,15200,Kurunegala,Kurunegala,Kurunegala,North Western Province,
B0612,0,2380,Ramboda,Nuwara Eliya,Nuwara Eliya,Central Province,
B0613,0,1030,Ramboda,Nuwara Eliya,Nuwara Eliya,Central Province,
B0614,0,9235,Chilaw,Chilaw,Chilaw,North Western Province,
B0615,0,18115,Inamaluwa,Nalanda,Matale,Central Province,
B0615,18115,32215,Elahera,Habarana,Polonnaruwa,North Central Province,
B0616,0,19500,Sinharagama,Anuradhapura,Anuradhapura,North Central Province,
B0617,0,14530,Ambagaswewa,Habarana,Polonnaruwa,North Central Province,
B0618,0,7454,Kanthale,Trincomalee,Trincomalee,Eastern Province,
B0618,7454,13985,Thamealaegamam,Trincomalee,Trincomalee,Eastern Province,
B0619,0,5165,Kanniya,Trincomalee,Trincomalee,Eastern Province,
B0620,0,4050,Kanniya,Trincomalee,Trincomalee,Eastern Province,
B0621,0,7360,Meewathura,Kadugannawa,Kandy,Central Province,
B0622,0,25300,Tangalle,Tangalle,Hambantota,Southern Province,
B0623,0,11666,Tangalle,Tangalle,Hambantota,Southern Province,
B0624,0,6575,Tangalle,Tangalle,Hambantota,Southern Province,
B0625,0,4210,Tangalle,Tangalle,Hambantota,Southern Province,
B0626,0,6550,Tangalle,Tangalle,Hambantota,Southern Province,
B0627,0,10060,Tangalle,Tangalle,Hambantota,Southern Province,
B0628,0,8720,Tangalle,Tangalle,Hambantota,Southern Province,
B0629,0,13120,Tangalle,Tangalle,Hambantota,Southern Province,
B0630,0,8915,Tangalle,Tangalle,Hambantota,Southern Province,
B0630,8915,13850,Welewatta,Matara,Matara,Southern Province,
B0631,0,29445,Uda malala,Hambantota,Hambantota,Southern Province,
B0632,0,6780,Pattiwila,Gampaha,Gampaha,Western Province,
B0633,0,2505,Ja-ela,Negambo,Gampaha,Western Province,
B0634,0,1910,Kadawatha,Gampaha,Gampaha,Western Province,
B0635,0,1285,Welewatta,Matara,Matara,Southern Province,
B0636,0,1750,Indikatudeniya,Deniyaya,Matara,Southern Province,6.0
B0637,0,2100,Weligama,Matara,Matara,Southern Province,
B0638,0,3000,Thisawewa,Anuradhapura,Anuradhapura,North Central Province,
B0639,0,2850,Kesbewa,Avissawella,Colombo,Western Province,
B0640,0,12360,Haldaduwana,Chilaw,Chilaw,North Western Province,
B0640,12360,21920,Walahapitiya,Chilaw,Chilaw,North Western Province,
B0640,21920,31630,Chilaw,Chilaw,Chilaw,North Western Province,
B0641,0,1664,Kadawatha,Gampaha,Gampaha,Western Province,
B0642,0,1260,Nawala,Colombo,Colombo,Western Province,
B0643,0,4370,Dewalegama,Kegalle,Kegalle,Sabaragamuwa Province,
B0644,0,3255,Orugodawatta,Colombo,Colombo,Western Province,
B0644,3255,4545,Nawala,Colombo,Colombo,Western Province,
B0645,0,4100,Nawala,Colombo,Colombo,Western Province,
K0001,0,21660,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
K0002,0,12666,Mankadawala,Anuradhapura,Anuradhapura,North Central Province,
K0003,0,490,Ulapane,Kadugannawa,Kandy,Central Province,
K0004,0,180,Kaduwela,Colombo,Colombo,Western Province,
K0004,180,780,Pattiwila,Gampaha,Gampaha,Western Province,
K0005,0,2460,Navinna,Colombo,Colombo,Western Province,
K0006,0,70,Kaluaggala,Avissawella,Colombo,Western Province,
K0007,0,1130,Horaketiya,Pelmadulla,Ratnapura,Sabaragamuwa Province,
K0008,0,450,Ella,Bandarawela,Badulla,UVA Province,
K0009,0,1830,Negambo unit ,Negambo,Gampaha,Western Province,
K0010,0,270,CMC,Colombo,Colombo,Western Province,
K0010,270,8600,Orugodawatta,Colombo,Colombo,Western Province,
K0010,8600,20550,Kaduwela,Colombo,Colombo,Western Province,
K0010,20550,26660,Kaluaggala,Avissawella,Colombo,Western Province,
K0011,0,6410,Ratmalana,Colombo,Colombo,Western Province,
K0011,6410,6820,Panadura,Kalutara,Kalutara,Western Province,
K0012,0,1160,Nugaduwa,Galle,Galle,Southern Province,
K0013,0,16180,Ulapane,Kadugannawa,Kandy,Central Province,
K0014,0,1400,Malwala,Ratnapura,Ratnapura,Sabaragamuwa Province,
K0015,0,3800,Nawala,Colombo,Colombo,Western Province,
K0016,0,10430,Jaffna,Jaffna,Jaffna,Northern Province,
K0016,10430,18250,Changani,Jaffna,Jaffna,Northern Province,
K0017,0,4410,Jaffna,Jaffna,Jaffna,Northern Province,
K0017,4410,27430,Changani,Jaffna,Jaffna,Northern Province,
K0018,0,9000,Jaffna,Jaffna,Jaffna,Northern Province,
K0018,9000,17220,Changani,Jaffna,Jaffna,Northern Province,
K0019,0,2010,Jaffna,Jaffna,Jaffna,Northern Province,
K0019,2010,20250,Velanai,Jaffna,Jaffna,Northern Province,
K0020,0,20185,Jaffna,Jaffna,Jaffna,Northern Province,
K0020,20185,33890,Mandan,Point Pedro,Jaffna,Northern Province,
K0021,0,3880,Jaffna,Jaffna,Jaffna,Northern Province,
K0021,37380,41800,Jaffna,Jaffna,Jaffna,Northern Province,
K0021,3880,37380,Changani,Jaffna,Jaffna,Northern Province,
K0021,41800,55380,Mandan,Point Pedro,Jaffna,Northern Province,
K0022,0,430,Uda malala,Hambantota,Hambantota,Southern Province,
K0023,0,6310,Mankadawala,Anuradhapura,Anuradhapura,North Central Province,
K0024,0,1000,Inamaluwa,Nalanda,Matale,Central Province,
K0025,0,1050,Thisa Wewa,Anuradhapura,Anuradhapura,North Central Province,
K0026,0,5940,Matale,Matale,Matale,Central Province,
K0027,0,1870,Panadura,Kalutara,Kalutara,Western Province,
K0028,0,910,Ja-ela,Negambo,Gampaha,Western Province,
K0029,0,19230,Mirigama,Nittambuwa,Gampaha,Western Province,
K0030,0,8850,,Point Pedro,Jaffna,Northern Province,
K0031,0,5010,Mandan,Point Pedro,Jaffna,Northern Province,
K0031,5010,18970,Kaithadi,Point Pedro,Jaffna,Northern Province,
K0032,0,4915,Jaffna,Jaffna,Jaffna,Northern Province,
K0032,4915,13610,Kaithadi,Point Pedro,Jaffna,Northern Province,
K0033,0,1760,Samanthurai,Kalmunai,Akkaraipattu,Add.P Akkaraipattu,
K0034,0,,Nugaduwa,Galle,Galle,Southern Province,
K0035,0,1750,Parakaduwa,Ratnapura,Ratnapura,Sabaragamuwa Province,
K0036,0,765,Nugaduwa,Galle,Galle,Southern Province,11.0
K0037,0,2275,Meewathura,Kadugannawa,Kandy,Central Province,
K0038,0,5120,Walachchenei,Batticaloa,Batticaloa,Eastern Province,
K0039,0,3230,Changani,Jaffna,Jaffna,Northern Province,
K0039,3230,24546,Velanai,Jaffna,Jaffna,Northern Province,
K0040,0,700,Wattala,Negambo,Gampaha,Western Province,
K0041,0,4180,Weligama,Matara,Matara,Southern Province,
K0042,0,3760,Gatambe,Kandy,Kandy,Central Province,
K0043,0,1150,Pelwatta,Monaragala,Monaragala,UVA Province,
K0044,0,24030,Mahiyanganaya,Mahiyanganaya,Badulla,UVA Province,
K0044,24030,46865,Dehiatthakandiya,Dehiatthakandiya,Ampara,Add.P Akkaraipattu,
K0044,46865,72410,Siripura,Polonnaruwa,Polonnaruwa,North Central Province,
K0045,0,910,Kaluaggala,Avissawella,Colombo,Western Province,
B0022,0,500,Gampaha,Gampaha,Gampaha,Western Province,
AC005,0,4600,Orugodawatta,Colombo,Colombo,Western Province,
AC005,4600,8100,Nawala,Colombo,Colombo,Western Province,
B1001,0,0.3,Kadugannawa,Kadugannawa,Kandy,Central Province,
,0,100,Nawala,Colombo,Colombo,Western Province,
,0,1300,Nawala,Colombo,Colombo,Western Province,
,,,Nawala,Colombo,Colombo,Western Province,
,,,Nawala,Colombo,Colombo,Western Province,
,,,Nawala,Colombo,Colombo,Western Province,
,0,200,Nawala,Colombo,Colombo,Western Province,
,0,500,Orugodawatta,Colombo,Colombo,Western Province,
,0,500,Orugodawatta,Colombo,Colombo,Western Province,
,,,Kaduwela,Colombo,Colombo,Western Province,
,,,Kaduwela,Colombo,Colombo,Western Province,
,0,,Ja-ela,Negambo,Gampaha,Western Province,
,,,Madampalla ,Negambo,Gampaha,Western Province,
,0,800,Ratmalana,Colombo,Colombo,Western Province,
,0,600,Nittambuwa,Nittambuwa,Gampaha,Western Province,
,,,Kadawatha,Gampaha,Gampaha,Western Province,
,0,260,Gampaha,Gampaha,Gampaha,Western Province,
,0,480,Gampaha,Gampaha,Gampaha,Western Province,
,0,400,Gampaha,Gampaha,Gampaha,Western Province,
,,,Gampaha,Gampaha,Gampaha,Western Province,
,0,200,Pattiwila,Gampaha,Gampaha,Western Province,
,0,0.4,Karandeniya,Galle,Galle,Southern Province,
,0,11.7,Epitawala,Ratnapura,Ratnapura,Sabaragamuwa Province,
,0,2680,Kaduruwela,Polonnaruwa,Polonnaruwa,North Central Province,
,0,0,Udadumbara,Kundasale,Kandy,Central Province,
,0,,Gatambe,Kandy,Kandy,Central Province,
,0,,Gatambe,Kandy,Kandy,Central Province,
,0,,Gatambe,Kandy,Kandy,Central Province,
,0,,Gatambe,Kandy,Kandy,Central Province,
,0,,Gatambe,Kandy,Kandy,Central Province,
,0,910,Horaketiya,Pelmadulla,Ratnapura,Sabaragamuwa Province,
,,,Malwala,Ratnapura,Ratnapura,Sabaragamuwa Province,
,,,Malwala,Ratnapura,Ratnapura,Sabaragamuwa Province,
,,,Yatiyanthota,Ruwanwella,Kegalle,Sabaragamuwa Province,
,,,Ingiriya,Horana,Kalutara,Western Province,
,,,,Kalutara,Kalutara,Western Province,
,,,Warakapola,Kegalle,Kegalle,Sabaragamuwa Province,
,,,Hali-Ela,Badulla,Badulla,UVA Province,
,,map,Pelwatta,Monaragala,Monaragala,UVA Province,
,,map,Pelwatta,Monaragala,Monaragala,UVA Province,
,0,,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
,,,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
,0,3000,Muthur,Trincomalee,Trincomalee,Eastern Province,
,0,13500,Mavatichenai,Trincomalee,Trincomalee,Eastern Province,
,0,659,Kaluaggala,Avissawella,Colombo,Western Province,
B0527,,,Bibile,,,,1.0
A0017,,,Ulhiduwawa (sub),,,,28.0
A0015,,,Walachchenei,,,,1.0
