Road Number,Class,Name,From (m),To (m),Length (m),Deport,Deport Code,EE,EE Code,CE,CE Code,Province,Prov Code
B0119,B,Erukkalampuddy - Causeway,0,795,795,Mannar town,04222,Mannar,0422,Vavuniya,042,Northern Province,04
B0120,B,Etulkotte - Mirihana - Kohuwela,0,5680,5680,Nawala,01113,Colombo,0111,Colombo,011,Western Province,01
B0121,B,Gadaladeniya - Paranapattiya,0,5180,5180,Kadugannawa,02132,Kadugannawa,0213,Kandy,021,Central Province,02
B0122,B,Galagedara - Rambukkana,0,18505,18505,Aladeniya,02111,Kandy,0211,Kandy,021,Central Province,02
B0123,B,Galagedera - Horana,0,4785,4785,Galagedara,01121,Avissawella,0112,Colombo,011,Western Province,01
B0123,B,Galagedera - Horana,4785,14015,9230,Ingiriya,01332,Horana,0133,Kalutara,013,Western Province,01
B0123,B,Galagedera - Horana,14015,18615,4600,Madurawala,01331,Horana,0133,Kalutara,013,Western Province,01
B0124,B,Galagoda - Weligepola,0,6110,6110,Molamure,09123,Pelmadulla,0912,Ratnapura,091,Sabaragamuwa Province,09
B0125,B,Galaha - Pupuressa - Delpitiya (Section 2),0,27552,27552,Gampola,02131,Kadugannawa,0213,Kandy,021,Central Province,02
B0126,B,Galgamuwa - Nikawewa,0,19990,19990,Ambanpola,06121,Maho,0612,Kurunegala,061,North Western Province,06
B0126,B,Galgamuwa - Nikawewa,19990,24790,4800,Koonwewa,06124,Maho,0612,Kurunegala,061,North Western Province,06
B0127,B,Galigomuwa - Ruwanwella,0,16320,16320,Abanpitiya,09211,Kegalle,0921,Kegalle,092,Sabaragamuwa Province,09
B0127,B,Galigomuwa - Ruwanwella,16320,21570,5250,Weekada,09223,Ruwanwella,0922,Kegalle,092,Sabaragamuwa Province,09
B0128,B,Galle - Baddegama,0,7070,7070,Nugaduwa,03113,Galle,0311,Galle,031,Southern Province,03
B0128,B,Galle - Baddegama,7070,18290,11220,Baddegama,03111,Galle,0311,Galle,031,Southern Province,03
B0129,B,Galle - Udugama,0,16000,16000,Nugaduwa,03113,Galle,0311,Galle,031,Southern Province,03
B0129,B,Galle - Udugama,16000,35030,19030,Kottawa,03122,Hiniduma,0312,Galle,031,Southern Province,03
B0130,B,Galle - Wakwella,0,7830,7830,Nugaduwa,03113,Galle,0311,Galle,031,Southern Province,03
B0131,B,Galmadu - Muwangala - Hingurana,0,7010,7010,Ampara,10111,Ampara,1011,Ampara,101,Add.P Akkaraipattu,10
B0132,B,Gampola - Craighead,0,15180,15180,Gampola,02131,Kadugannawa,0213,Kandy,021,Central Province,02
B0133,B,Ganewelpola - Dachchahalmillewa,0,27660,27660,Heenukkiriyawa,07131,Maradankadawala,0713,Anuradhapura,071,North Central Province,07
B0133,B,Ganewelpola - Dachchahalmillewa,27660,46070,18410,Kahatagasdigiliya,07122,Medawachchiya,0712,Anuradhapura,071,North Central Province,07
B0134,B,Gangodawila - Boralesgamuwa,0,2630,2630,Navinna,01112,Colombo,0111,Colombo,011,Western Province,01
B0135,B,Geli Oya - Embekke,0,4175,4175,Meewathura,02133,Kadugannawa,0213,Kandy,021,Central Province,02
B0136,B,Gevilipitiya - Hettimulla,0,15105,15105,Hettimulla,09213,Kegalle,0921,Kegalle,092,Sabaragamuwa Province,09
B0137,B,Ginoya - Bolawatte - Dankotuwa,0,4530,4530,Haldaduwana,06212,Chilaw,0621,Chilaw,062,North Western Province,06
B0138,B,Gintota Plywood Factory Road,0,4320,4320,Nugaduwa,03113,Galle,0311,Galle,031,Southern Province,03
B0139,B,Gonadeniya - Udugama,0,4440,4440,Thalgaswala,03121,Hiniduma,0312,Galle,031,Southern Province,03
B0141,B,Hakmana - Beliatte - Tangalle,0,5640,5640,Welewatta,03211,Matara,0321,Matara,032,Southern Province,03
B0141,B,Hakmana - Beliatte - Tangalle,5640,18765,13125,Tangalle,03311,Tangalle,0331,Hambantota,033,Southern Province,03
